Year,Model,Config,MPGe_combined,MPGe_city,MPGe_highway,price_low,price_high,range_in_miles
2016,2016 Nissan Leaf (24 kW-hr battery pack),"Automatic (A1), Electricity",114,126,101,29010.0,36790.0,84
2016,2016 Mitsubishi i-MiEV,"Automatic (A1), Electricity",112,126,99,22995.0,22995.0,62
2016,2016 Nissan Leaf (30 kW-hr battery pack),"Automatic (A1), Electricity",112,124,101,29010.0,36790.0,107
2016,2016 Fiat 500e,"Automatic (A1), Electricity",112,121,103,31800.0,31800.0,84
2016,2016 smart fortwo electric drive convertible,"Automatic (A1), Electricity",107,122,93,,,68
2016,2016 smart fortwo electric drive coupe,"Automatic (A1), Electricity",107,122,93,,,68
2016,2016 Kia Soul Electric,"Automatic (A1), Electricity",105,120,92,31950.0,35950.0,93
2016,2016 Ford Focus Electric,"Automatic (A1), Electricity",105,110,99,29170.0,29170.0,76
2016,2016 Tesla Model S AWD - 60D,"Automatic (A1), Electricity",104,101,107,71000.0,71000.0,218
2016,2016 Tesla Model S AWD - 75D,"Automatic (A1), Electricity",103,102,105,79500.0,79500.0,259
2016,2016 Tesla Model S AWD - 90D,"Automatic (A1), Electricity",103,101,107,89500.0,89500.0,294
2016,2016 Tesla Model S AWD - 70D,"Automatic (A1), Electricity",101,101,102,,,240
2016,2016 Tesla Model S AWD - 85D,"Automatic (A1), Electricity",100,95,106,,,270
2016,2016 Tesla Model S (60 kW-hr battery pack),"Automatic (A1), Electricity",99,98,101,66000.0,66000.0,210
2016,2016 Tesla Model S (75 kW-hr battery pack),"Automatic (A1), Electricity",98,97,100,74500.0,74500.0,249
2016,2016 Tesla Model S AWD - P100D,"Automatic (A1), Electricity",98,92,105,134500.0,134500.0,315
2016,2016 Tesla Model S AWD - P90D,"Automatic (A1), Electricity",95,91,100,112000.0,112000.0,270
2016,2016 Tesla Model X AWD - 75D,"Automatic (A1), Electricity",93,91,95,83000.0,83000.0,238
2016,2016 Tesla Model X AWD - 60D,"Automatic (A1), Electricity",93,91,94,,,200
2016,2016 Tesla Model S AWD - P85D,"Automatic (A1), Electricity",93,89,98,,,253
2016,2016 Tesla Model X AWD - 90D,"Automatic (A1), Electricity",92,90,94,95500.0,95500.0,257
2016,2016 Tesla Model X AWD - P90D,"Automatic (A1), Electricity",89,89,90,115500.0,115500.0,250
2016,2016 Tesla Model S (70 kW-hr battery pack),"Automatic (A1), Electricity",89,88,90,70000.0,70000.0,234
2016,2016 Tesla Model S (85 kW-hr battery pack),"Automatic (A1), Electricity",89,88,90,,,265
2016,2016 Tesla Model S (90 kW-hr battery pack),"Automatic (A1), Electricity",89,88,90,,,265
2016,2016 Tesla Model X AWD - P100D,"Automatic (A1), Electricity",86,81,92,136900.0,159000.0,289
2016,2016 Mercedes-Benz B250e,"Automatic (A1), Electricity",84,85,82,41450.0,41450.0,87
2016,2016 BYD e6,"Automatic (A1), Electricity",72,73,71,,,187
2017,2017 Hyundai Ioniq Electric,"Automatic (A1), Electricity",136,150,122,29500.0,32500.0,124
2017,2017 Tesla Model 3 Long Range,"Automatic (A1), Electricity",126,131,120,44000.0,44000.0,310
2017,2017 BMW i3 BEV (60  Amp-hour battery),"Automatic (A1), Electricity",124,137,111,42400.0,42400.0,81
2017,2017 Chevrolet Bolt EV,"Automatic (A1), Electricity",119,128,110,36620.0,40905.0,238
2017,2017 Volkswagen e-Golf,"Automatic (A1), Electricity",119,126,111,30495.0,36995.0,125
2017,2017 BMW i3 BEV (94 Amp-hour battery),"Automatic (A1), Electricity",118,129,106,44450.0,44450.0,114
2017,2017 Honda Clarity EV,"Automatic (A1), Electricity",114,126,103,,,89
2017,2017 Nissan Leaf,"Automatic (A1), Electricity",112,124,101,30680.0,36790.0,107
2017,2017 Fiat 500e,"Automatic (A1), Electricity",112,121,103,31800.0,31800.0,84
2017,2017 Mitsubishi i-MiEV,"Automatic (A1), Electricity",112,121,102,,,59
2017,2017 smart fortwo electric drive coupe,"Automatic (A1), Electricity",108,124,94,23800.0,26640.0,58
2017,2017 Ford Focus Electric,"Automatic (A1), Electricity",107,118,96,29120.0,29120.0,115
2017,2017 Kia Soul Electric,"Automatic (A1), Electricity",105,120,92,32250.0,35950.0,93
2017,2017 Tesla Model S AWD - 90D,"Automatic (A1), Electricity",104,102,107,78200.0,78200.0,294
2017,2017 Tesla Model S AWD - 60D,"Automatic (A1), Electricity",104,101,107,73000.0,73000.0,218
2017,2017 Tesla Model S AWD - 75D,"Automatic (A1), Electricity",103,102,105,74500.0,74500.0,259
2017,2017 smart fortwo electric drive convertible,"Automatic (A1), Electricity",102,112,91,28000.0,29000.0,57
2017,2017 Tesla Model S AWD - 100D,"Automatic (A1), Electricity",102,101,102,92500.0,92500.0,335
2017,2017 Tesla Model S (60 kW-hr battery pack),"Automatic (A1), Electricity",99,98,101,68000.0,68000.0,210
2017,2017 Tesla Model S (75 kW-hr battery pack),"Automatic (A1), Electricity",98,97,100,69500.0,69500.0,249
2017,2017 Tesla Model S AWD - P100D,"Automatic (A1), Electricity",98,92,105,134500.0,134500.0,315
2017,2017 Tesla Model S AWD - P90D,"Automatic (A1), Electricity",95,92,100,87500.0,87500.0,270
2017,2017 Tesla Model X AWD - 75D,"Automatic (A1), Electricity",93,91,95,82500.0,82500.0,238
2017,2017 Tesla Model X AWD - 60D,"Automatic (A1), Electricity",93,91,94,100150.0,100150.0,200
2017,2017 Tesla Model X AWD - 90D,"Automatic (A1), Electricity",92,90,94,93500.0,93500.0,257
2017,2017 Tesla Model X AWD - P90D,"Automatic (A1), Electricity",89,89,90,117150.0,143950.0,250
2017,2017 Tesla Model X AWD - 100D,"Automatic (A1), Electricity",87,86,89,,,295
